epoch,train_l1,train_grad,train_total,val_l1,val_grad,val_total,val_psnr,val_ssim,lr,epoch_time_s
1,0.01850,0.16688,0.31815,0.01071,0.15536,0.28944,37.03,0.9054,0.000399,5.42
2,0.01071,0.16118,0.30116,0.00999,0.15041,0.28079,37.52,0.9116,0.000398,4.63
3,0.01048,0.15613,0.29286,0.00986,0.14523,0.27242,37.61,0.9175,0.000394,4.51
4,0.01021,0.15193,0.28595,0.00951,0.14125,0.26574,37.77,0.9217,0.000390,4.14
5,0.01015,0.14929,0.28164,0.00926,0.13957,0.26280,37.92,0.9233,0.000385,4.15
6,0.00962,0.14837,0.27961,0.00905,0.13876,0.26126,38.06,0.9241,0.000378,4.16
7,0.00954,0.14757,0.27818,0.00901,0.13831,0.26049,38.09,0.9245,0.000371,4.14
8,0.00950,0.14687,0.27699,0.00910,0.13802,0.26011,38.05,0.9247,0.000362,4.14
9,0.00953,0.14727,0.27778,0.00899,0.13774,0.25954,38.11,0.9250,0.000352,4.14
10,0.00953,0.14668,0.27677,0.00898,0.13749,0.25914,38.12,0.9252,0.000342,4.14
11,0.00951,0.14623,0.27594,0.00897,0.13722,0.25870,38.11,0.9255,0.000330,4.14
12,0.00944,0.14585,0.27523,0.00896,0.13695,0.25825,38.13,0.9257,0.000318,4.14
13,0.00944,0.14614,0.27587,0.00892,0.13670,0.25782,38.15,0.9259,0.000305,4.10
14,0.00939,0.14541,0.27462,0.00894,0.13636,0.25728,38.13,0.9262,0.000291,4.09
15,0.00940,0.14537,0.27457,0.00898,0.13602,0.25677,38.11,0.9264,0.000277,4.06
16,0.00935,0.14458,0.27314,0.00892,0.13580,0.25636,38.16,0.9266,0.000262,4.05
17,0.00934,0.14421,0.27245,0.00893,0.13582,0.25635,38.17,0.9265,0.000247,4.05
18,0.00937,0.14471,0.27349,0.00884,0.13533,0.25548,38.21,0.9270,0.000232,4.08
19,0.00931,0.14418,0.27250,0.00889,0.13522,0.25536,38.19,0.9270,0.000216,4.05
20,0.00931,0.14397,0.27211,0.00884,0.13508,0.25506,38.21,0.9272,0.000200,4.24
21,0.00927,0.14367,0.27162,0.00885,0.13502,0.25496,38.21,0.9272,0.000185,4.20
22,0.00927,0.14345,0.27118,0.00882,0.13490,0.25474,38.22,0.9273,0.000169,4.13
23,0.00925,0.14326,0.27085,0.00879,0.13477,0.25448,38.25,0.9274,0.000154,4.09
24,0.00925,0.14347,0.27125,0.00879,0.13482,0.25455,38.25,0.9274,0.000139,4.05
25,0.00926,0.14361,0.27151,0.00883,0.13471,0.25441,38.22,0.9275,0.000124,4.05
26,0.00925,0.14354,0.27133,0.00880,0.13458,0.25416,38.25,0.9276,0.000110,4.05
27,0.00923,0.14311,0.27056,0.00877,0.13439,0.25382,38.26,0.9278,0.000096,4.03
28,0.00925,0.14351,0.27128,0.00878,0.13442,0.25385,38.26,0.9277,0.000083,4.03
29,0.00923,0.14321,0.27076,0.00876,0.13432,0.25369,38.27,0.9278,0.000071,4.04
30,0.00923,0.14327,0.27088,0.00876,0.13434,0.25371,38.27,0.9278,0.000059,4.05
31,0.00924,0.14336,0.27103,0.00875,0.13425,0.25354,38.28,0.9279,0.000049,4.07
32,0.00920,0.14284,0.27002,0.00874,0.13408,0.25325,38.30,0.9280,0.000039,4.10
33,0.00922,0.14322,0.27078,0.00874,0.13410,0.25328,38.29,0.9280,0.000030,4.05
34,0.00921,0.14301,0.27038,0.00875,0.13415,0.25337,38.28,0.9280,0.000023,4.04
35,0.00920,0.14283,0.27007,0.00874,0.13409,0.25327,38.29,0.9280,0.000016,4.05
36,0.00922,0.14319,0.27065,0.00875,0.13416,0.25339,38.28,0.9279,0.000011,4.04
37,0.00921,0.14306,0.27045,0.00874,0.13412,0.25331,38.29,0.9280,0.000007,4.03
38,0.00919,0.14264,0.26970,0.00874,0.13409,0.25326,38.29,0.9280,0.000003,4.04
39,0.00920,0.14284,0.27002,0.00874,0.13407,0.25323,38.29,0.9280,0.000002,4.05
40,0.00919,0.14266,0.26973,0.00874,0.13408,0.25325,38.29,0.9280,0.000001,4.03
