epoch,train_l1,train_grad,train_total,val_l1,val_grad,val_total,val_psnr,val_ssim,lr,epoch_time_s
1,0.01411,0.16499,0.31076,0.01030,0.15242,0.28433,37.30,0.9089,0.000399,4.07
2,0.01037,0.15619,0.29282,0.00950,0.14341,0.26918,37.74,0.9195,0.000398,4.04
3,0.00993,0.15019,0.28286,0.00918,0.14014,0.26361,37.96,0.9228,0.000394,4.07
4,0.00959,0.14814,0.27920,0.00919,0.13917,0.26205,37.96,0.9236,0.000390,4.05
5,0.00960,0.14757,0.27821,0.00905,0.13844,0.26074,38.05,0.9244,0.000385,4.04
6,0.00956,0.14702,0.27732,0.00907,0.13810,0.26021,38.05,0.9247,0.000378,4.05
7,0.00949,0.14656,0.27645,0.00914,0.13778,0.25975,38.02,0.9249,0.000371,4.04
8,0.00946,0.14620,0.27589,0.00893,0.13734,0.25885,38.14,0.9254,0.000362,4.04
9,0.00944,0.14614,0.27585,0.00898,0.13703,0.25841,38.12,0.9256,0.000352,4.03
10,0.00941,0.14550,0.27470,0.00903,0.13652,0.25763,38.09,0.9261,0.000342,4.04
11,0.00941,0.14508,0.27407,0.00903,0.13642,0.25747,38.06,0.9261,0.000330,4.04
12,0.00938,0.14455,0.27304,0.00886,0.13570,0.25611,38.20,0.9268,0.000318,4.04
13,0.00933,0.14467,0.27332,0.00888,0.13549,0.25576,38.20,0.9269,0.000305,4.04
14,0.00927,0.14362,0.27142,0.00881,0.13524,0.25524,38.24,0.9272,0.000291,4.03
15,0.00929,0.14349,0.27126,0.00883,0.13530,0.25533,38.22,0.9271,0.000277,4.04
16,0.00926,0.14347,0.27119,0.00879,0.13468,0.25429,38.25,0.9276,0.000262,4.04
17,0.00924,0.14341,0.27105,0.00876,0.13448,0.25390,38.27,0.9278,0.000247,4.04
18,0.00927,0.14360,0.27144,0.00877,0.13430,0.25361,38.27,0.9280,0.000232,4.04
19,0.00922,0.14284,0.26999,0.00877,0.13411,0.25329,38.28,0.9281,0.000216,4.05
20,0.00922,0.14293,0.27014,0.00875,0.13410,0.25323,38.28,0.9281,0.000200,4.04
21,0.00918,0.14236,0.26911,0.00872,0.13401,0.25302,38.31,0.9282,0.000185,4.04
22,0.00922,0.14296,0.27022,0.00881,0.13411,0.25327,38.25,0.9281,0.000169,4.05
23,0.00923,0.14284,0.27003,0.00879,0.13409,0.25322,38.25,0.9281,0.000154,4.05
24,0.00920,0.14290,0.27011,0.00877,0.13395,0.25298,38.27,0.9282,0.000139,4.03
25,0.00916,0.14218,0.26878,0.00870,0.13365,0.25240,38.33,0.9285,0.000124,4.05
26,0.00916,0.14231,0.26903,0.00871,0.13364,0.25239,38.31,0.9285,0.000110,4.04
27,0.00915,0.14217,0.26876,0.00872,0.13358,0.25231,38.31,0.9285,0.000096,4.04
28,0.00914,0.14186,0.26818,0.00870,0.13361,0.25232,38.32,0.9285,0.000083,4.04
29,0.00915,0.14215,0.26873,0.00871,0.13364,0.25239,38.31,0.9285,0.000071,4.04
30,0.00914,0.14188,0.26825,0.00869,0.13348,0.25210,38.33,0.9286,0.000059,4.06
31,0.00915,0.14213,0.26870,0.00871,0.13354,0.25222,38.32,0.9286,0.000049,4.05
32,0.00913,0.14182,0.26814,0.00869,0.13344,0.25203,38.33,0.9287,0.000039,4.04
33,0.00915,0.14210,0.26866,0.00869,0.13343,0.25200,38.34,0.9287,0.000030,4.04
34,0.00914,0.14196,0.26841,0.00869,0.13348,0.25209,38.33,0.9286,0.000023,4.04
35,0.00915,0.14222,0.26884,0.00869,0.13345,0.25203,38.33,0.9287,0.000016,4.04
36,0.00914,0.14206,0.26858,0.00868,0.13338,0.25191,38.34,0.9287,0.000011,4.04
37,0.00912,0.14167,0.26783,0.00869,0.13340,0.25195,38.34,0.9287,0.000007,4.04
38,0.00914,0.14191,0.26833,0.00869,0.13341,0.25196,38.34,0.9287,0.000003,4.02
39,0.00915,0.14224,0.26890,0.00869,0.13341,0.25197,38.34,0.9287,0.000002,4.04
40,0.00916,0.14246,0.26929,0.00869,0.13341,0.25196,38.34,0.9287,0.000001,4.04
